emulator_scenario,fair_scenario,short,year,p5,p17,p33,p50,p66,p83,p95
vl,verylow,VLLO,1887,-0.2634557222144367,-0.1876970934605395,-0.1423595613401519,-0.0989042975142068,-0.0593328857359063,-0.0114275190388521,0.0608264168324273
vl,verylow,VLLO,1888,-0.2201801263290941,-0.159522769044113,-0.1063401709636722,-0.0643962430786307,-0.0243913145687542,0.0235426652146387,0.1124993114706519
vl,verylow,VLLO,1889,-0.1751354995888767,-0.1120717329997376,-0.0696074039667132,-0.02738307889058,0.0080568244467278,0.0511213790052254,0.1136287722076117
vl,verylow,VLLO,1890,-0.1552097529234415,-0.0947632589375338,-0.0442204817808908,-0.0081680231934897,0.027021027828967,0.0810529572546922,0.1409462272495405
vl,verylow,VLLO,1891,-0.1536945839373711,-0.0885844916332606,-0.0434277799261314,-0.0054322187653839,0.0329939671977349,0.0775887387498877,0.1458051159772354
vl,verylow,VLLO,1892,-0.1648189559369587,-0.1050715308429259,-0.0551291640093269,-0.0182264901715784,0.0137312436802736,0.0649664468635806,0.1329618776519185
vl,verylow,VLLO,1893,-0.1817639521232141,-0.1064429404341518,-0.0621375691513392,-0.0214753879214246,0.0184271756779266,0.0722788958106615,0.1325000998911403
vl,verylow,VLLO,1894,-0.1730079630438389,-0.0945581510818347,-0.039770858300899,-0.0030417270312276,0.0364081648523122,0.0898796502597637,0.1515411845356858
vl,verylow,VLLO,1895,-0.1478646710147522,-0.0756683088771999,-0.0294710128582774,0.0129195593884011,0.0456748715023421,0.0967554951098383,0.1564161862159479
vl,verylow,VLLO,1896,-0.1351432093730474,-0.0650251704334248,-0.015676532706869,0.0239307736861737,0.0631899828920078,0.1099622040927045,0.1855416700204493
vl,verylow,VLLO,1897,-0.1253659766932552,-0.0636663460306252,-0.0114300096351207,0.0296458475398889,0.0641500977175201,0.1174266983190271,0.1925791910971202
vl,verylow,VLLO,1898,-0.120675898961241,-0.0497346513844513,0.000125637473105,0.0388302163539786,0.0773794414419603,0.1237237575191844,0.1990961078627286
vl,verylow,VLLO,1899,-0.131789152816057,-0.0475570418933954,0.0012770361999657,0.0422823306661971,0.0788041953758628,0.1292910010270792,0.2036087309270369
vl,verylow,VLLO,1900,-0.1248283841907643,-0.0558529028353031,-0.0025421173102768,0.0365417351962086,0.0768724843088659,0.1266850482084268,0.2096225234504187
vl,verylow,VLLO,1901,-0.1270078074963241,-0.0555740642754858,-0.0065999856945594,0.0383543992486212,0.0750751314161785,0.128095430725713,0.1961172688781131
vl,verylow,VLLO,1902,-0.1224327944276723,-0.0542607339367968,-0.0008246672172014,0.0395655525543827,0.0818376144666232,0.1343773430517511,0.2047529512738196
vl,verylow,VLLO,1903,-0.1473167850477847,-0.0708048473423858,-0.0203442468386011,0.0256340349872845,0.0689465815167452,0.1129467619011528,0.1966620980311144
vl,verylow,VLLO,1904,-0.2114434662377972,-0.1377246368926688,-0.0807518959759528,-0.0337420387073472,0.0071124992191124,0.0551338598792631,0.1225549057501954
vl,verylow,VLLO,1905,-0.2109177993351072,-0.1415846486706247,-0.0850006975307569,-0.0389534434036671,0.0020370241619713,0.054297580649468,0.1143423245730419
vl,verylow,VLLO,1906,-0.1981588079206269,-0.1071195738807802,-0.0526592982642175,-0.0148364803196388,0.0285692591440876,0.0725243215991427,0.1467956577375668
vl,verylow,VLLO,1907,-0.1584166341715402,-0.0789800706625952,-0.0289632566934699,0.0141645882730903,0.050223651926188,0.1048381567222634,0.1670566871735219
vl,verylow,VLLO,1908,-0.1637116905257053,-0.0894478774264459,-0.0355212708981818,0.0041590248843531,0.0426430326659992,0.1011956242920595,0.1625970755405916
vl,verylow,VLLO,1909,-0.1584940746350899,-0.0843628246125156,-0.0278228207780461,0.0198299275888938,0.0579043021031083,0.1109215602687622,0.1714012822014209
vl,verylow,VLLO,1910,-0.1615022580481891,-0.0702648678391727,-0.0182514832931993,0.0238649806535237,0.0664923446741386,0.1126232786829855,0.1878272924664209
vl,verylow,VLLO,1911,-0.1469290492466311,-0.0785049943641617,-0.0225114204511453,0.0203066270872931,0.0600960639769227,0.1099559424185588,0.2069672465244336
vl,verylow,VLLO,1912,-0.1503777477276254,-0.0707317619751898,-0.0161257999234454,0.0284693360586171,0.0752147533976439,0.1362372036647909,0.2042973874100374
vl,verylow,VLLO,1913,-0.1921320433004779,-0.1032964087530921,-0.0554982613024597,-0.010814546704491,0.0301089220033606,0.0844902794891999,0.1648923228138393
vl,verylow,VLLO,1914,-0.2010742899130161,-0.1306290257580331,-0.0757770746143883,-0.0377882971164248,0.0051724970726371,0.0660148656037213,0.1434701464362697
