scenario,short,year,p5,p17,p33,p50,p66,p83,p95
verylow-overshoot,VLHO,1862.0,-0.15895552140474067,-0.09375759847312157,-0.03940499109451427,-0.004309487419414754,0.02945233418603456,0.08599899442415193,0.1633473277445696
verylow-overshoot,VLHO,1863.0,-0.15345680191602876,-0.08604109103384625,-0.03768467363371807,-0.0009268354955688854,0.030752566610817388,0.07728137832427229,0.15141995459990054
verylow-overshoot,VLHO,1864.0,-0.15570479624310482,-0.08980811740013284,-0.04338933338447052,-0.007433310468755535,0.02765323580071055,0.07802618683352301,0.14719332927080353
verylow-overshoot,VLHO,1865.0,-0.15530821363727088,-0.0864164479528142,-0.03887072599499829,-0.002311632212354763,0.027329429369418543,0.08020396319793499,0.14727179901122928
verylow-overshoot,VLHO,1866.0,-0.14411767076009654,-0.0794754257084553,-0.03503246737006753,0.003382929473662466,0.03770488678291112,0.09210921758530452,0.1522497048360481
verylow-overshoot,VLHO,1867.0,-0.15467790031546252,-0.09130255481292292,-0.035043171256214964,0.0019003304224221168,0.04162452580886774,0.0875420367956108,0.16571184597632516
verylow-overshoot,VLHO,1868.0,-0.15503162315247246,-0.08404030964965117,-0.04025229071070981,-0.0033004931258559748,0.030655002486610204,0.08355527580596667,0.15189685696155755
verylow-overshoot,VLHO,1869.0,-0.1576527679781612,-0.08686798196353654,-0.041076936022951566,-0.001994096210320262,0.029928418036480834,0.0811203446032646,0.15494025874300027
verylow-overshoot,VLHO,1870.0,-0.16113357419520244,-0.09121602621130001,-0.04625774674302553,-0.005212373578054066,0.030441740869487928,0.07890163788375444,0.14615853433335785
verylow-overshoot,VLHO,1871.0,-0.17090132277868997,-0.0954391307259203,-0.04556183391429541,-0.009451576519692154,0.030086537476050026,0.07727049554386381,0.1398648227130082
verylow-overshoot,VLHO,1872.0,-0.1503160696440305,-0.09543462841735266,-0.04440954112603731,-0.005255875512174768,0.03291469736829856,0.08325226496981711,0.14238300058076603
verylow-overshoot,VLHO,1873.0,-0.14699149165558514,-0.08892724991279762,-0.04219864838162072,-0.006125724586484707,0.026683840978332655,0.07818971233822407,0.145116321097147
verylow-overshoot,VLHO,1874.0,-0.1471393725890461,-0.09027571688380377,-0.03921568470582369,-0.002626189652764531,0.03562420497770594,0.08247900525386113,0.15173369875044304
verylow-overshoot,VLHO,1875.0,-0.16225067718653577,-0.09055209956079477,-0.04500390570374373,-0.0002274262607593648,0.03809599626993686,0.08760965566771033,0.15448530618802223
verylow-overshoot,VLHO,1876.0,-0.15036352626023472,-0.08485633007533203,-0.03416817068386534,-0.00017002154593818292,0.03820046917422324,0.08276095078485676,0.1427401808450655
verylow-overshoot,VLHO,1877.0,-0.1596816889971977,-0.08579375356238585,-0.032712787050607435,0.00416902269528941,0.03826910778384393,0.08333048639329063,0.14530285771892631
verylow-overshoot,VLHO,1878.0,-0.1586026723909687,-0.08546452077489583,-0.03798298069513359,0.0060544847130797885,0.04571828593886768,0.09134243795195197,0.16655673449364106
verylow-overshoot,VLHO,1879.0,-0.14949575324212372,-0.08671228250905784,-0.039830355460574875,0.003972147617434377,0.034490798137300945,0.09078062623260046,0.15827546381589738
verylow-overshoot,VLHO,1880.0,-0.14099064848204687,-0.07646309979513845,-0.03356126999686339,0.0008355125913976809,0.036552521769978134,0.08889379645784136,0.15834156584093748
verylow-overshoot,VLHO,1881.0,-0.142305975104909,-0.08393818165679263,-0.036009471654226015,0.003264876455103106,0.035986726952999544,0.08186228984900441,0.1468331129193597
verylow-overshoot,VLHO,1882.0,-0.1485874663134698,-0.0839742769314712,-0.03867901788080884,-0.0006400445070576244,0.03417645255789248,0.08172346949362815,0.15520618898813368
verylow-overshoot,VLHO,1883.0,-0.1672713904550211,-0.0860536150644129,-0.039952803909414226,4.972586215280968e-05,0.03474709427068762,0.08513859670286852,0.14831259655989976
verylow-overshoot,VLHO,1884.0,-0.16271075255683495,-0.09099139806174454,-0.03704641916443683,0.0008497001925239465,0.03911331960115142,0.08830540282720883,0.15309470606391748
verylow-overshoot,VLHO,1885.0,-0.1673884227507082,-0.09528414783370981,-0.04035374332936459,0.0004712240367411927,0.03721619002197655,0.08384023799020596,0.16717422620462474
verylow-overshoot,VLHO,1886.0,-0.141932157362045,-0.07719942689302554,-0.02842245040989981,0.008536436412165579,0.03823019669968735,0.08718285302093015,0.1669893033770182
verylow-overshoot,VLHO,1887.0,-0.14814801208931214,-0.08294786346949377,-0.03303915161051794,0.007035845729290644,0.03916750003346251,0.08915027300230424,0.15684435296868485
verylow-overshoot,VLHO,1888.0,-0.152593434208923,-0.0865870845842896,-0.03764925006545266,0.004588112272776394,0.04012684685471343,0.08829676948793139,0.1717694660869787
verylow-overshoot,VLHO,1889.0,-0.13999837519681663,-0.07875383448773672,-0.030009670575586105,0.005246376220962898,0.03962831629034832,0.08559629699040877,0.14390203183663597
verylow-overshoot,VLHO,1890.0,-0.1441962583555549,-0.08132942068102518,-0.032710963574848824,0.004886726530772068,0.03856609018876962,0.08656622167688494,0.1652296081784784
verylow-overshoot,VLHO,1891.0,-0.14292679658537905,-0.07916856507304224,-0.03407726875252953,0.006277555870756442,0.044448056008898645,0.09091082851820775,0.1591050616144265
verylow-overshoot,VLHO,1892.0,-0.142981959172639,-0.08296527551232753,-0.03567876657790172,0.0024555401497701537,0.036004704172957175,0.08807937455563451,0.15561429248731307
verylow-overshoot,VLHO,1893.0,-0.15673044581559947,-0.08245071860885979,-0.03903247750997176,0.002364317899179739,0.04299049955819697,0.09018276857308831,0.16437425394211108
verylow-overshoot,VLHO,1894.0,-0.1632418222985466,-0.08755773436403981,-0.03593068685373024,0.007116673269977003,0.044296687092789694,0.09384171461724865,0.15884374149423358
verylow-overshoot,VLHO,1895.0,-0.15560239033612994,-0.08047337377796489,-0.030677973333080942,0.007831254714706422,0.04212124091204068,0.0892790081369512,0.15341465652298114
verylow-overshoot,VLHO,1896.0,-0.14480901864358378,-0.07614486860703405,-0.03207692811868508,0.006862202798444579,0.04325115651127981,0.09702460287535246,0.16488827233064024
verylow-overshoot,VLHO,1897.0,-0.15536341713261764,-0.08888735100108242,-0.033808085437537605,0.005773912708570035,0.0397301210018901,0.09439288848521667,0.163914669889429
verylow-overshoot,VLHO,1898.0,-0.1501831157813878,-0.08048224210078929,-0.02598922467146943,0.014386585693324606,0.0492450994944508,0.09860268767081436,0.16978469846933175
verylow-overshoot,VLHO,1899.0,-0.15002668106341072,-0.07590768717187678,-0.02905370752050773,0.012015640222712329,0.05093421523762714,0.10260998705192727,0.16754453530199148
verylow-overshoot,VLHO,1900.0,-0.15482086529831537,-0.08251500950798692,-0.03350515022752008,0.00556411391726605,0.04468603330925367,0.09239898480540738,0.17724553447611358
verylow-overshoot,VLHO,1901.0,-0.14674129910794792,-0.08364939230150809,-0.0344537058654014,0.007054493882765175,0.044730420660119834,0.08857691373172713,0.15732740620820684
verylow-overshoot,VLHO,1902.0,-0.1533785235022767,-0.08309130801815683,-0.03394659131101208,0.006320212442373883,0.046015898738865926,0.10050250481716928,0.17278770081212913
verylow-overshoot,VLHO,1903.0,-0.1604147850926473,-0.08252405990130357,-0.037276262396722534,0.010259768522798885,0.05230537333312079,0.09599119663749077,0.18267940532780985
verylow-overshoot,VLHO,1904.0,-0.14969818222848827,-0.07658600306499681,-0.0267810713137702,0.014184180795222604,0.05498002084649799,0.10057091108632606,0.16656714357527458
verylow-overshoot,VLHO,1905.0,-0.15516522833155602,-0.07320956255675326,-0.025932878445286783,0.014137057189154412,0.05430780569326943,0.1038942912705892,0.1733324651485796
verylow-overshoot,VLHO,1906.0,-0.15400603428806492,-0.0750475446140454,-0.02042612638019957,0.016607045806288988,0.05534591843698816,0.09753175543133556,0.16867657126386135
verylow-overshoot,VLHO,1907.0,-0.14246983712064173,-0.0667096957163263,-0.017843353644223483,0.021734767738969395,0.058542714847106936,0.11034653938349116,0.17516191951700485
verylow-overshoot,VLHO,1908.0,-0.13967050165252806,-0.07023311798782772,-0.02270224978774532,0.016977675784727482,0.055089985211300235,0.10918739197676297,0.18569173468332426
verylow-overshoot,VLHO,1909.0,-0.14900141988020105,-0.0718213219713075,-0.01736233678862539,0.023484006969839294,0.06310471423340978,0.11669312733018916,0.18085033684987042
verylow-overshoot,VLHO,1910.0,-0.14446764597358341,-0.07450676547992956,-0.020134930892506373,0.023616623363013192,0.05923913625503107,0.10611033224438245,0.1772046672659295
verylow-overshoot,VLHO,1911.0,-0.1485162007498147,-0.06942852306021101,-0.024023312679571793,0.015879371709899094,0.049365411968593245,0.10138814108690802,0.1842856293199976
verylow-overshoot,VLHO,1912.0,-0.15079923418031974,-0.07400234989146465,-0.02179559313419617,0.02066225921832541,0.05997129024648796,0.11889672484285864,0.18268834917472918
verylow-overshoot,VLHO,1913.0,-0.13651881707787233,-0.07114511649503667,-0.012007460222719736,0.028128002837367314,0.06337040457016302,0.11112734010084793,0.18221090909818247
verylow-overshoot,VLHO,1914.0,-0.14497175009374377,-0.06382374522685846,-0.016825745785133746,0.01788603163920023,0.05619921371373122,0.11509240948919983,0.19955496364062345
verylow-overshoot,VLHO,1915.0,-0.13502247803746537,-0.06271376432305618,-0.01027000981890896,0.028418143393790538,0.06470889197439102,0.11841797358619417,0.20038391880724765
verylow-overshoot,VLHO,1916.0,-0.12975408078234987,-0.061408578854559054,-0.013906389934354554,0.029487683484327967,0.0645990821457367,0.11910313442044354,0.19912255780934426
verylow-overshoot,VLHO,1917.0,-0.13215064084146216,-0.05829981843949521,-0.014018209341610239,0.0220293367958962,0.06158144903484221,0.1141365686917911,0.19305581155260512
verylow-overshoot,VLHO,1918.0,-0.13061492621819526,-0.0580607985358008,-0.012688493379258089,0.0236230017412915,0.06651895133532669,0.12289979671651813,0.19383030239381566
verylow-overshoot,VLHO,1919.0,-0.12904282600097283,-0.06427766618209307,-0.006134991762753878,0.03271696468847548,0.07343049198202212,0.12264896970392158,0.18890084336426582
verylow-overshoot,VLHO,1920.0,-0.14074349278040096,-0.06750721604323491,-0.006326358405589491,0.03703535308637262,0.07008638558016957,0.12017900179377639,0.1967566452241123
verylow-overshoot,VLHO,1921.0,-0.13571025097671252,-0.05835955173797557,-0.006183037933783427,0.03173294901083344,0.06850714222575502,0.12233138551970946,0.2064241393595157
verylow-overshoot,VLHO,1922.0,-0.14040330874488158,-0.05692828468923583,-0.006551537283560709,0.03273507863123891,0.07556751275580523,0.1297523134558561,0.2100436932423243
verylow-overshoot,VLHO,1923.0,-0.12247984530950759,-0.04651628395913602,0.000691596654095103,0.04196830076770906,0.08114260946984336,0.13283840595665736,0.21092679817136076
verylow-overshoot,VLHO,1924.0,-0.13144140520395206,-0.053895271930124035,-0.004760957803712648,0.03715405025254086,0.08503244310381576,0.14578796954804868,0.22062243714679405
verylow-overshoot,VLHO,1925.0,-0.12450899290499513,-0.04317488039390063,0.008775917388060304,0.04583792345864755,0.08520256463709493,0.13374016921821077,0.20830503393482172
verylow-overshoot,VLHO,1926.0,-0.11223726606295927,-0.04113555027178217,0.00450994232754701,0.046551390751256055,0.08709640268638574,0.14406259702973864,0.2237745322767664
verylow-overshoot,VLHO,1927.0,-0.10816659056622227,-0.03703471217505634,0.010853108406209984,0.05026982744262359,0.09017062156124289,0.14221872923482493,0.2132238379555741
verylow-overshoot,VLHO,1928.0,-0.1267025746718787,-0.04432272189874481,0.008751601493958873,0.05279329329402519,0.0902560668159655,0.1515690690030919,0.23480807702828851
verylow-overshoot,VLHO,1929.0,-0.10776128523856156,-0.035796476022508836,0.021662255749545833,0.05660780243768454,0.09391477210142428,0.15444628636658567,0.22469859385799523
verylow-overshoot,VLHO,1930.0,-0.11246734813652201,-0.04012118148798541,0.01147918141794863,0.050529904644773194,0.09293364262057247,0.14518319887321945,0.22189726308216892
verylow-overshoot,VLHO,1931.0,-0.09534436438850695,-0.04169156760229327,0.009418503677288508,0.06264118180394136,0.10282106510896569,0.15394547655458962,0.22536767785841014
