emulator_scenario,fair_scenario,short,year,p5,p17,p33,p50,p66,p83,p95
h,high-extension,H,2072,1.198861639963084,1.3564943188369591,1.517001883527151,1.6664631891773616,1.8003478099663737,2.004128920930836,2.2416896507904043
h,high-extension,H,2073,1.1950324336387657,1.3690851695256467,1.5309237987613862,1.6830946690355244,1.81969214810802,2.019762159299703,2.254646982406015
h,high-extension,H,2074,1.212214171147584,1.3941206047896366,1.5482887675904324,1.6909526875238856,1.8469317953788629,2.069075515075877,2.3002013304001885
h,high-extension,H,2075,1.241021927811832,1.4164000055738573,1.563576241813264,1.73092078670939,1.8867307068786203,2.093873820391426,2.3438793592163893
h,high-extension,H,2076,1.252317414237308,1.436867654333916,1.5913340466298205,1.7556127793314316,1.9101975470256016,2.112561598946264,2.377997939916834
h,high-extension,H,2077,1.2777499080329289,1.4430259314106608,1.611924799705128,1.7749000381146425,1.922835796651393,2.13277496401595,2.387539364053107
h,high-extension,H,2078,1.316299609444611,1.472081035876635,1.6381628482935393,1.7931134662912602,1.9410092183427623,2.152003464043469,2.443921518824668
h,high-extension,H,2079,1.3096397396948762,1.4993709918183638,1.6475991787820083,1.821144298864672,1.983178066375323,2.180519777053736,2.4808817140130897
h,high-extension,H,2080,1.3224702011967773,1.5146859450798682,1.6648347545011348,1.8400042474857503,1.9978261435906344,2.199777727971609,2.493380817289541
h,high-extension,H,2081,1.3401545895581677,1.5302963713995217,1.7001261442450992,1.859936079006659,2.02726636457064,2.2175751892019497,2.5110724662624158
h,high-extension,H,2082,1.3577269910179437,1.5513680941920278,1.7063361023928614,1.8899477554425903,2.041963223963684,2.2710772426901764,2.55927976912111
h,high-extension,H,2083,1.3638428824632487,1.570188525804895,1.7376381519358186,1.8991927182958224,2.081361497598924,2.2999956772996093,2.599516502870701
h,high-extension,H,2084,1.3743506719348448,1.5867997278735182,1.7565103081967233,1.9244540150642655,2.104497012945329,2.317871510668437,2.622726510366712
h,high-extension,H,2085,1.411526382526773,1.610122708283744,1.767636957290244,1.941007459184826,2.1297734769602856,2.349169368914904,2.641341023149124
h,high-extension,H,2086,1.4336206776020626,1.6216341509654115,1.7868690497059112,1.953061759315125,2.132204377681989,2.3696913472038603,2.693255956004992
h,high-extension,H,2087,1.458835752156701,1.6409821838918448,1.80908231457678,1.987317821925608,2.163249167115704,2.394315657827625,2.7269519740927097
h,high-extension,H,2088,1.476735536084561,1.644893379330758,1.8299388788465216,2.0223206931621065,2.201115757979342,2.4252848341580715,2.7535013754945514
h,high-extension,H,2089,1.4936445037878785,1.6645161963092707,1.857388043675484,2.050526143825074,2.2270928780812613,2.457838292189996,2.7884153526199693
h,high-extension,H,2090,1.5036272608054584,1.695893514872576,1.8765967655723768,2.072728993887346,2.253041258060944,2.497063409526408,2.8105520881294943
h,high-extension,H,2091,1.4948974683986858,1.7117464255398112,1.9001406265103349,2.084599337964843,2.2778891032906565,2.5238874454625218,2.867026964759646
h,high-extension,H,2092,1.5336362283547074,1.748039885854337,1.932756357534427,2.116251265280174,2.286993784617225,2.5390308684128646,2.8675759451901928
h,high-extension,H,2093,1.544631056589544,1.7628900239933811,1.9461732759827008,2.140818825636023,2.307695825488798,2.584861045202626,2.910348745086544
h,high-extension,H,2094,1.54476614515294,1.7638407622351304,1.963802243969128,2.1598007779819093,2.3400797647908407,2.6220285101694887,2.9121041998578474
h,high-extension,H,2095,1.5674155791330138,1.803536247525719,1.9790157838712212,2.17861988171617,2.383574803604279,2.638168808215136,2.9486118488048527
h,high-extension,H,2096,1.5871122662173562,1.8253418746445464,2.004648445244173,2.213623477999444,2.407728101035836,2.6769114893655788,2.996236430159564
h,high-extension,H,2097,1.612020183905131,1.8317958591501304,2.0292892916436145,2.245427409907267,2.436090866251003,2.712493763624156,3.049437967675789
h,high-extension,H,2098,1.6407322962246638,1.8598142773404212,2.056727822695932,2.261265112679007,2.4447881915016625,2.743528151315614,3.06374625006505
h,high-extension,H,2099,1.6572156804528009,1.8756261470517448,2.0723360489618923,2.287651729047648,2.477751665579587,2.767918087477648,3.084248980126111
h,high-extension,H,2100,1.6699711158615718,1.8744062606945997,2.0895978565211704,2.3031923277855832,2.504058309031328,2.789909704931445,3.1287273385503447
vl,verylow,VLLO,1850,-0.1563425885930259,-0.0981637490269196,-0.0449180980861085,0.0003670215249079,0.0366743917270726,0.0857220785923966,0.1654401205024972
vl,verylow,VLLO,1851,-0.1685060073729269,-0.0906163158825125,-0.0375168890327194,-0.0004406009210319,0.0352054165454324,0.0899017883080514,0.1557041651207464
vl,verylow,VLLO,1852,-0.1600803825357097,-0.0849922092021868,-0.0410585390504006,-0.0046047963973319,0.034259575824298,0.084557406948603,0.1480299709572586
vl,verylow,VLLO,1853,-0.1548852036771875,-0.0880479870518304,-0.0473195679574883,-0.0077483772868524,0.0286913991284137,0.0837832656493942,0.1655810463470745
vl,verylow,VLLO,1854,-0.1630482583039724,-0.0960034475597289,-0.0521925700132662,-0.0079713750835521,0.0312107094495551,0.07973379258713,0.1541726436064292
vl,verylow,VLLO,1855,-0.16497747533612,-0.0893720384510616,-0.0460582823609345,-0.0110908674504435,0.0249587205055815,0.0726465115134594,0.1561737483884719
vl,verylow,VLLO,1856,-0.173650785388802,-0.0951012688215529,-0.0469909246381976,-0.0059507548110433,0.0302156531639591,0.0766366475222953,0.1603976366777909
vl,verylow,VLLO,1857,-0.1723385543635968,-0.0905229326922086,-0.0425381126547632,-0.0036288343788527,0.0278115284419617,0.0834977207745499,0.1597737121074728
vl,verylow,VLLO,1858,-0.1704393776080266,-0.0995675872977641,-0.0478769656049428,-0.0027881667330829,0.0326579737450755,0.0864170034497945,0.1551723756992311
vl,verylow,VLLO,1859,-0.1620585572869984,-0.0872719721660682,-0.0396566935711412,-0.0046731402739687,0.0315569296196436,0.0886852752132613,0.1431868456781761
vl,verylow,VLLO,1860,-0.1525043065674224,-0.0892919523210545,-0.0430038483907071,-0.0070818788943218,0.0267266953131381,0.073879533927842,0.1318175030103012
vl,verylow,VLLO,1861,-0.1575206676382047,-0.0865025504975681,-0.0415486386517154,-0.0043200334995266,0.0302290579411023,0.0847780250514146,0.1556210543964136
vl,verylow,VLLO,1862,-0.1589555214047406,-0.0937575984731215,-0.0394049910945142,-0.0043094874194147,0.0294523341860345,0.0859989944241519,0.1633473277445696
vl,verylow,VLLO,1863,-0.1534568019160287,-0.0860410910338462,-0.037684673633718,-0.0009268354955688,0.0307525666108173,0.0772813783242722,0.1514199545999005
vl,verylow,VLLO,1864,-0.1557047962431048,-0.0898081174001328,-0.0433893333844705,-0.0074333104687555,0.0276532358007105,0.078026186833523,0.1471933292708035
vl,verylow,VLLO,1865,-0.1553082136372708,-0.0864164479528142,-0.0388707259949982,-0.0023116322123547,0.0273294293694185,0.0802039631979349,0.1472717990112292
vl,verylow,VLLO,1866,-0.1441176707600965,-0.0794754257084553,-0.0350324673700675,0.0033829294736624,0.0377048867829111,0.0921092175853045,0.1522497048360481
vl,verylow,VLLO,1867,-0.1546779003154625,-0.0913025548129229,-0.0350431712562149,0.0019003304224221,0.0416245258088677,0.0875420367956108,0.1657118459763251
vl,verylow,VLLO,1868,-0.1550316231524724,-0.0840403096496511,-0.0402522907107098,-0.0033004931258559,0.0306550024866102,0.0835552758059666,0.1518968569615575
