year,source,value
2067,emulator,0.32288827469300685
2068,emulator,0.30499449685802205
2069,emulator,0.2975367372135942
2070,emulator,0.28484874948036776
2071,emulator,0.27378552771805076
2072,emulator,0.2804084556916209
2073,emulator,0.2590724703732441
2074,emulator,0.24721022992929775
2075,emulator,0.23648676708702254
2076,emulator,0.2230036857557316
2077,emulator,0.20694324611320525
2078,emulator,0.19635812830000532
2079,emulator,0.21438914983866297
2015,cesm2_se,0.05922761998095863
2016,cesm2_se,0.05523984113172946
2017,cesm2_se,0.05189453868747438
2018,cesm2_se,0.042450362221170684
2019,cesm2_se,0.05435924584752644
2020,cesm2_se,0.04625007840862748
2021,cesm2_se,0.05178519439112704
2022,cesm2_se,0.052657621776242315
2023,cesm2_se,0.05307927669049124
2024,cesm2_se,0.057297747752174395
2025,cesm2_se,0.06635491989187926
2026,cesm2_se,0.050021489370114816
2027,cesm2_se,0.043482917311569017
2028,cesm2_se,0.07154084536177244
2029,cesm2_se,0.06563625941199051
2030,cesm2_se,0.051204462193304545
2031,cesm2_se,0.07770505947687575
2032,cesm2_se,0.062040345469495134
2033,cesm2_se,0.05035603894302685
2034,cesm2_se,0.049635002685245115
2035,cesm2_se,0.053120179049269904
2036,cesm2_se,0.07574526132367883
2037,cesm2_se,0.0616438887240551
2038,cesm2_se,0.06266549880705334
2039,cesm2_se,0.038086912288260166
2040,cesm2_se,0.056949532544910565
2041,cesm2_se,0.05422464898330954
2042,cesm2_se,0.05592420791892362
2043,cesm2_se,0.07371203841997229
2044,cesm2_se,0.0665225241163423
2045,cesm2_se,0.062236878332458896
2046,cesm2_se,0.05267768563413884
2047,cesm2_se,0.061446812751318206
2048,cesm2_se,0.057241176267512114
2049,cesm2_se,0.053748792738141336
2050,cesm2_se,0.052852523306284566
2051,cesm2_se,0.06673021171045829
2052,cesm2_se,0.06434081083910481
2053,cesm2_se,0.0524912058794791
2054,cesm2_se,0.05009999451261069
2055,cesm2_se,0.046046142744316385
2056,cesm2_se,0.05538594454899861
2057,cesm2_se,0.0530973293176052
2058,cesm2_se,0.05309657490372887
2059,cesm2_se,0.05390824107484875
2060,cesm2_se,0.07365135148176652
2061,cesm2_se,0.04654809399895939
2062,cesm2_se,0.04417147442890406
2063,cesm2_se,0.04347398809753186
2064,cesm2_se,0.056327222150927454
2065,cesm2_se,0.042006639849711785
2066,cesm2_se,0.04832172791895374
2067,cesm2_se,0.059137985033145914
2068,cesm2_se,0.052997998536818844
2069,cesm2_se,0.05634980004028184
2070,cesm2_se,0.07644403229103842
2071,cesm2_se,0.06025107796125737
2072,cesm2_se,0.03456163591962598
2073,cesm2_se,0.05348091592195344
2074,cesm2_se,0.06753849529995994
2075,cesm2_se,0.060602355135199605
2076,cesm2_se,0.05343750567205002
2077,cesm2_se,0.05286181387442082
2078,cesm2_se,0.05548503717033736
2079,cesm2_se,0.05907398536734703
2015,emulator_se,0.04144434618009239
2016,emulator_se,0.05164659258732636
2017,emulator_se,0.03629986897143064
2018,emulator_se,0.04568953729140532
2019,emulator_se,0.04497358789954619
2020,emulator_se,0.041145369291859336
2021,emulator_se,0.041184481118050884
2022,emulator_se,0.03828712382578686
2023,emulator_se,0.04496650348970753
2024,emulator_se,0.04175484275335508
2025,emulator_se,0.03689865568134556
2026,emulator_se,0.035032464966488555
2027,emulator_se,0.04196845509827676
2028,emulator_se,0.04234963764079963
2029,emulator_se,0.035358503546331
2030,emulator_se,0.0458866056792019
2031,emulator_se,0.03602651675282077
2032,emulator_se,0.05316427572130547
2033,emulator_se,0.03852379799308781
2034,emulator_se,0.04298898420770209
2035,emulator_se,0.0375423749190661
2036,emulator_se,0.04081235571552517
2037,emulator_se,0.04426560786614059
2038,emulator_se,0.04474045032877721
2039,emulator_se,0.04471261487820424
2040,emulator_se,0.044887470233138695
2041,emulator_se,0.052824390400219724
2042,emulator_se,0.05113142908671163
2043,emulator_se,0.035557257190230715
2044,emulator_se,0.04221246349048877
2045,emulator_se,0.042528416237434336
2046,emulator_se,0.04094180481544281
2047,emulator_se,0.042218618502431464
2048,emulator_se,0.04542856565393407
2049,emulator_se,0.04488655283680573
2050,emulator_se,0.04100697854766302
2051,emulator_se,0.03284451057754537
2052,emulator_se,0.03958236275349362
2053,emulator_se,0.04030419548801587
2054,emulator_se,0.0432641007523292
2055,emulator_se,0.0331404530133733
2056,emulator_se,0.0332199094785098
2057,emulator_se,0.043855425779244554
2058,emulator_se,0.038227904230791025
2059,emulator_se,0.0405196209160839
2060,emulator_se,0.04609614726828177
2061,emulator_se,0.03611993213803529
2062,emulator_se,0.032967853931021855
2063,emulator_se,0.04135354706007368
2064,emulator_se,0.03936637243528055
2065,emulator_se,0.04478891418508728
2066,emulator_se,0.03525259057558529
2067,emulator_se,0.04428745146981147
2068,emulator_se,0.03564594393775014
2069,emulator_se,0.05041134604096267
2070,emulator_se,0.02855975797970041
2071,emulator_se,0.03404392467636617
2072,emulator_se,0.0386754100819554
2073,emulator_se,0.03940609028438969
2074,emulator_se,0.026699622428756453
2075,emulator_se,0.03591495590540509
2076,emulator_se,0.03775051349402089
2077,emulator_se,0.04307056662723148
2078,emulator_se,0.034273275660285166
2079,emulator_se,0.04063280138981563
