scenario,year,GtCO2_per_yr
h,1980,19.58005703918602
h,1981,19.299518662497118
h,1982,19.19282782893726
h,1983,19.320865121558708
h,1984,19.94646865716183
h,1985,20.250392432109937
h,1986,20.623636249599684
h,1987,21.288067192818005
h,1988,21.981418259778838
h,1989,22.338762807163583
h,1990,22.94257103191512
h,1991,23.02882942473488
h,1992,22.891837607316663
h,1993,23.01198055686307
h,1994,23.18740267239792
h,1995,23.729783405750794
h,1996,24.220480792666418
h,1997,24.64867273678962
h,1998,24.807017735198304
h,1999,25.03151986593739
h,2000,25.776556046959477
h,2001,26.03614730646333
h,2002,26.51322490613231
h,2003,27.79828180449055
h,2004,29.139002674746738
h,2005,30.13246353125063
h,2006,31.188585028211566
h,2007,32.36730771901994
h,2008,32.61089058282505
h,2009,31.884038102768354
h,2010,33.81428386817776
h,2011,34.79465790827678
h,2012,35.210760663896465
h,2013,35.85262493484158
h,2014,36.13741160011484
h,2015,36.052700316356876
h,2016,36.09354386281786
h,2017,36.694621314121825
h,2018,37.37349215299074
h,2019,37.44619472081973
h,2020,35.73902524479265
h,2021,37.84524298596229
h,2022,38.113130773589276
h,2023,38.74688829811485
h,2024,38.90016204905309
h,2025,39.051862910213366
h,2026,39.46913180126554
h,2027,39.886400692317714
h,2028,40.30366958336988
h,2029,40.720938474422056
h,2030,41.13820736547423
h,2031,41.381339386114234
h,2032,41.624471406754246
h,2033,41.86760342739425
h,2034,42.11073544803426
h,2035,42.35386746867427
h,2036,42.46892338283558
h,2037,42.58397929699689
h,2038,42.6990352111582
h,2039,42.81409112531951
h,2040,42.92914703948082
h,2041,42.97415073915808
h,2042,43.019154438835336
h,2043,43.06415813851259
h,2044,43.10916183818985
h,2045,43.15416553786711
h,2046,43.10333018390903
h,2047,43.05249482995095
h,2048,43.001659475992874
h,2049,42.950824122034795
h,2050,42.89998876807672
h,2051,43.30833755998819
h,2052,43.71668635189966
h,2053,44.12503514381114
h,2054,44.53338393572261
h,2055,44.94173272763408
h,2056,45.262574418623345
h,2057,45.5834161096126
h,2058,45.90425780060186
h,2059,46.225099491591116
h,2060,46.54594118258038
h,2061,46.69287633945697
h,2062,46.83981149633357
h,2063,46.98674665321017
h,2064,47.13368181008676
h,2065,47.28061696696336
h,2066,47.41930554677418
h,2067,47.55799412658501
h,2068,47.69668270639583
h,2069,47.83537128620666
h,2070,47.974059866017484
h,2071,48.14749988492041
h,2072,48.32093990382333
h,2073,48.49437992272626
h,2074,48.66781994162918
h,2075,48.841259960532106
h,2076,49.00964996543238
h,2077,49.178039970332655
h,2078,49.34642997523294
h,2079,49.51481998013321
h,2080,49.683209985033486
h,2081,49.84182045323423
h,2082,50.00043092143497
h,2083,50.15904138963572
h,2084,50.31765185783646
h,2085,50.4762623260372
h,2086,50.65597130072172
h,2087,50.83568027540623
h,2088,51.01538925009074
h,2089,51.19509822477526
h,2090,51.374807199459774
h,2091,51.56311124675803
h,2092,51.75141529405628
h,2093,51.93971934135454
h,2094,52.12802338865279
h,2095,52.316327435951045
h,2096,52.49626959183081
h,2097,52.67621174771058
h,2098,52.85615390359035
h,2099,53.03609605947012
h,2100,53.21603821534988
vl,1850,0.19084720311641623
vl,1851,0.19292355211640042
vl,1852,0.2020690374946241
vl,1853,0.2124468793585036
vl,1854,0.24769959899059926
vl,1855,0.25172253830020364
vl,1856,0.26833252753679343
vl,1857,0.2714682357173056
vl,1858,0.2771634998315983
vl,1859,0.2935166340005797
vl,1860,0.3211069573470775
vl,1861,0.33813620394435717
vl,1862,0.34567778257238213
vl,1863,0.3685313041792614
vl,1864,0.39639607085696615
vl,1865,0.4210947491746373
vl,1866,0.4345977709716095
vl,1867,0.4652040368323021
vl,1868,0.4784542720252866
vl,1869,0.5075517480947791
vl,1870,0.5197039480467873
