scenario,year,gmean_K
aaer,1897,287.19635369576054
aaer,1898,287.0726046926446
aaer,1899,287.0430562204366
aaer,1900,287.15017508097577
aaer,1901,287.29961984491433
aaer,1902,286.99004468630073
aaer,1903,286.8555553720301
aaer,1904,287.13084536589963
aaer,1905,287.1776040093044
aaer,1906,286.9406069110903
aaer,1907,286.96125830348586
aaer,1908,286.885079490168
aaer,1909,286.91682476001006
aaer,1910,287.00168102623206
aaer,1911,286.98582659214156
aaer,1912,287.10971856502016
aaer,1913,286.949964206773
aaer,1914,286.95500946498294
aaer,1915,287.0339760284642
aaer,1916,286.97188588790794
aaer,1917,286.79378899295
aaer,1918,286.90804248888315
aaer,1919,287.24526739436345
aaer,1920,287.30114869047327
aaer,1921,287.0363528432011
aaer,1922,287.205962144469
aaer,1923,287.21254852438796
aaer,1924,286.9839308908457
aaer,1925,287.11080566607836
aaer,1926,287.0919910016175
aaer,1927,287.0504175961503
aaer,1928,286.94509264315707
aaer,1929,286.93505922134045
aaer,1930,287.0640382003225
aaer,1931,287.11214311903234
aaer,1932,287.0675439027719
aaer,1933,287.06023760904895
aaer,1934,286.83489740008076
aaer,1935,286.8538435845902
aaer,1936,286.9095268673798
aaer,1937,287.0826154242394
aaer,1938,287.01208294967336
aaer,1939,286.8402219396541
aaer,1940,286.94389612035604
aaer,1941,287.1245464077988
aaer,1942,287.12933251910823
aaer,1943,287.0254095671221
aaer,1944,286.95647599091217
aaer,1945,287.1996530076472
aaer,1946,287.10793991071563
aaer,1947,286.896834376304
aaer,1948,286.86754250689376
aaer,1949,286.9285670564938
aaer,1950,286.9970055441904
aaer,1951,286.9264836489715
aaer,1952,287.0410895400733
aaer,1953,287.0134471059617
aaer,1954,286.9633781718093
aaer,1955,287.04819279189707
aaer,1956,286.8653800584081
aaer,1957,286.8912580529154
aaer,1958,286.9620304195285
aaer,1959,286.9973802969835
aaer,1960,287.0961079258355
aaer,1961,287.11973044455925
aaer,1962,286.9473295290117
aaer,1963,286.97041031217736
aaer,1964,286.70754205607994
aaer,1965,286.75768085681955
aaer,1966,286.6374344311353
aaer,1967,286.4919490362581
aaer,1968,286.6706385798535
aaer,1969,286.7783366566417
aaer,1970,286.70022762925845
aaer,1971,286.74791492991005
aaer,1972,286.65045716653367
aaer,1973,286.6949248844739
aaer,1974,286.9048731148429
aaer,1975,286.69868825733334
aaer,1976,286.49378233874194
