year,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11
1936,13.782281,13.569509,13.598209,13.788473,13.938058,13.898484,13.867842,13.857426,13.756038,13.731537,13.921689
1937,13.632027,13.737904,13.620283,13.805178,13.748389,13.540601,13.736379,13.671389,13.926669,13.797802,13.597674
1938,13.739713,13.665871,13.936045,14.118993,13.624201,13.613130,13.811540,13.678242,13.928073,13.763790,13.908392
1939,13.834479,13.815923,13.824284,13.830941,13.592638,13.896612,13.794759,13.673144,13.855894,13.764690,13.826418
1940,13.793364,13.899302,13.764284,13.725087,13.812122,13.771477,13.795725,13.708451,13.656419,13.805374,13.719247
1941,13.868076,13.667571,13.683343,13.859303,13.672880,13.808882,13.732194,13.960958,13.751693,13.904316,13.604660
1942,13.530068,13.767937,13.667457,13.602210,13.961212,13.745975,13.715670,13.888124,13.743405,13.711773,13.466405
1943,13.961897,13.743723,13.596819,13.738447,13.843559,13.872650,13.806006,13.846145,13.918718,13.646179,13.836738
1944,13.682043,13.632431,13.744638,13.727389,13.532832,13.705321,13.670025,13.759360,13.906424,13.473646,13.774048
1945,13.550226,13.607659,13.860741,13.678484,13.588762,13.809107,13.730804,13.751818,13.718356,13.730750,13.688101
1946,13.818832,13.846472,13.610337,13.761226,13.683302,13.710221,13.859665,13.662046,13.831692,13.779138,13.789474
1947,13.688779,13.910087,13.766649,13.721913,13.737272,13.812823,13.614962,13.676891,13.688958,13.962630,13.761406
1948,13.763094,13.761687,13.671314,14.145026,13.685035,13.576706,13.797454,13.872026,13.795113,13.903413,13.658029
1949,13.577817,13.626811,13.510117,13.680990,13.987813,13.881108,13.817238,13.539173,13.619768,13.678702,13.594951
1950,13.548366,13.903033,13.790357,13.643656,13.823887,13.754906,13.811119,13.668902,13.679209,13.759685,13.839789
1951,13.763631,13.731842,13.731433,13.739870,13.797819,13.620047,14.112695,13.734285,13.824814,13.898975,13.853716
1952,13.581941,13.739479,13.774821,13.694634,13.871623,13.895962,13.908353,13.516666,13.685356,13.672366,13.567636
1953,13.904551,13.504234,13.687009,13.768035,13.709742,13.484841,13.800848,13.698818,13.701519,13.697187,13.616564
1954,13.497735,13.442838,13.922230,13.496500,13.717477,13.988227,13.501907,13.825348,13.762327,13.798660,13.660258
1955,13.740735,13.751781,13.538430,13.700269,13.664093,13.790485,13.534170,13.653170,13.584809,13.809112,13.545657
1956,13.533330,13.770193,13.612804,13.478866,13.841121,13.450943,13.762421,13.571983,13.641942,13.625229,13.766610
