year,m1,m2,m3,m4,m5,m6
2018,15.732198,15.444115,15.471052,15.632287,15.377759,15.585137
2019,15.634727,15.608230,15.447118,15.445427,15.664524,15.438548
2020,15.680868,15.649167,15.643624,15.472895,15.415231,15.698493
2021,15.511257,15.550863,15.565823,15.705211,15.593421,15.748480
2022,15.436969,15.511070,15.706585,15.682417,15.693869,15.464328
2023,15.608897,15.751529,15.653820,15.665062,15.637190,15.479238
2024,15.698898,15.744500,15.544848,15.665429,15.789033,15.278136
2025,15.610286,15.504542,15.804783,15.627539,15.613095,15.770608
2026,15.635271,15.702324,15.652521,15.736823,15.768857,15.464406
2027,15.760263,15.694966,15.615043,15.934278,15.668949,15.383388
2028,15.877345,15.973605,15.813906,15.973866,15.806993,15.603696
2029,15.714576,15.847859,15.668643,15.609161,15.679246,15.734709
2030,15.694526,15.848939,15.744722,15.731569,15.805238,16.014598
2031,15.994227,15.975047,15.957434,15.877713,15.933455,15.857799
2032,15.761921,16.054872,16.052874,15.774578,15.980630,15.818503
2033,16.132561,15.909943,16.210325,15.720233,15.885790,15.929253
2034,16.009214,16.096111,15.855014,15.948313,15.933498,15.782723
2035,15.817479,15.958069,16.047348,16.126269,15.955083,16.092944
2036,15.971335,16.368819,15.997157,15.983484,16.344191,15.924491
2037,16.279155,16.111677,16.051572,16.198906,15.901173,15.986996
2038,15.982222,16.237386,16.009004,16.239082,16.078140,16.082365
2039,16.122677,16.158600,16.280318,16.123996,16.052437,16.186211
2040,16.276063,16.417250,15.960639,16.335131,16.052533,16.244282
2041,16.086250,16.059262,16.318479,16.183819,16.250585,16.188445
2042,16.176072,16.283365,16.098003,16.146780,16.217775,16.194816
2043,16.088672,16.491140,16.207262,16.220628,16.268995,16.378259
2044,16.290528,16.522575,16.177562,16.382147,16.456934,16.372751
2045,16.439139,16.402960,16.372005,16.268709,16.355563,16.389706
2046,16.566153,16.308874,16.453901,16.205325,16.513959,16.476429
2047,16.514421,16.328291,16.460087,16.435957,16.573662,16.505436
2048,16.542654,16.745874,16.467518,16.507198,16.438017,16.668843
2049,16.464711,16.327089,16.577777,16.610334,16.465499,16.353071
2050,16.630780,16.501381,16.497107,16.544425,16.276874,16.502791
