scenario,year,source,member,value,unit
ssp126,2099,cesm2,r4i1p1f1,4.160689310548725,%
ssp126,2100,cesm2,r4i1p1f1,4.279683212472202,%
ssp126,2015,emulator,ensemble_mean,0.4511417368535156,%
ssp126,2016,emulator,ensemble_mean,0.7055446456516661,%
ssp126,2017,emulator,ensemble_mean,0.7784622959164252,%
ssp126,2018,emulator,ensemble_mean,0.6262505846064741,%
ssp126,2019,emulator,ensemble_mean,1.0234082926359802,%
ssp126,2020,emulator,ensemble_mean,1.3365295288947456,%
ssp126,2021,emulator,ensemble_mean,1.1258081106481377,%
ssp126,2022,emulator,ensemble_mean,1.138084569282822,%
ssp126,2023,emulator,ensemble_mean,1.1680899172396166,%
ssp126,2024,emulator,ensemble_mean,1.300004531574341,%
ssp126,2025,emulator,ensemble_mean,1.4798112624532855,%
ssp126,2026,emulator,ensemble_mean,1.4431735793551024,%
ssp126,2027,emulator,ensemble_mean,1.5079759779354724,%
ssp126,2028,emulator,ensemble_mean,1.862889579781651,%
ssp126,2029,emulator,ensemble_mean,1.819119855635627,%
ssp126,2030,emulator,ensemble_mean,1.7155040681754021,%
ssp126,2031,emulator,ensemble_mean,1.9168988496463375,%
ssp126,2032,emulator,ensemble_mean,1.8285825297043945,%
ssp126,2033,emulator,ensemble_mean,2.317922990305307,%
ssp126,2034,emulator,ensemble_mean,1.9536699217088145,%
ssp126,2035,emulator,ensemble_mean,2.132644964250866,%
ssp126,2036,emulator,ensemble_mean,2.2047321867924814,%
ssp126,2037,emulator,ensemble_mean,2.3152276437831336,%
ssp126,2038,emulator,ensemble_mean,2.203959438546913,%
ssp126,2039,emulator,ensemble_mean,2.6344843080966527,%
ssp126,2040,emulator,ensemble_mean,2.408388781722425,%
ssp126,2041,emulator,ensemble_mean,2.316799749152649,%
ssp126,2042,emulator,ensemble_mean,2.6369158894776845,%
ssp126,2043,emulator,ensemble_mean,2.652874902893473,%
ssp126,2044,emulator,ensemble_mean,2.7458953780140583,%
ssp126,2045,emulator,ensemble_mean,2.656713007986187,%
ssp126,2046,emulator,ensemble_mean,2.8201088358411623,%
ssp126,2047,emulator,ensemble_mean,2.788544932242281,%
ssp126,2048,emulator,ensemble_mean,2.906232969722714,%
ssp126,2049,emulator,ensemble_mean,2.989328174485052,%
ssp126,2050,emulator,ensemble_mean,2.689875420929681,%
ssp126,2051,emulator,ensemble_mean,2.6343178375915084,%
ssp126,2052,emulator,ensemble_mean,2.7490225998611826,%
ssp126,2053,emulator,ensemble_mean,2.8122268499223275,%
ssp126,2054,emulator,ensemble_mean,3.0671640895953565,%
ssp126,2055,emulator,ensemble_mean,2.617439107845561,%
ssp126,2056,emulator,ensemble_mean,2.8830542932743493,%
ssp126,2057,emulator,ensemble_mean,2.8844767694444076,%
ssp126,2058,emulator,ensemble_mean,2.8372186159584007,%
ssp126,2059,emulator,ensemble_mean,2.82391360439262,%
ssp126,2060,emulator,ensemble_mean,2.812706190753697,%
ssp126,2061,emulator,ensemble_mean,2.7156279198982967,%
ssp126,2062,emulator,ensemble_mean,3.162323579106801,%
ssp126,2063,emulator,ensemble_mean,3.0341649705827383,%
ssp126,2064,emulator,ensemble_mean,3.127849636487878,%
ssp126,2065,emulator,ensemble_mean,3.113763252185866,%
ssp126,2066,emulator,ensemble_mean,3.017442793237053,%
ssp126,2067,emulator,ensemble_mean,2.93640063487407,%
ssp126,2068,emulator,ensemble_mean,3.052970299657082,%
ssp126,2069,emulator,ensemble_mean,3.0510887843994317,%
ssp126,2070,emulator,ensemble_mean,3.289424673719771,%
ssp126,2071,emulator,ensemble_mean,2.902412383403305,%
ssp126,2072,emulator,ensemble_mean,2.757256364615363,%
ssp126,2073,emulator,ensemble_mean,2.9926878939104498,%
ssp126,2074,emulator,ensemble_mean,3.1166036558446737,%
ssp126,2075,emulator,ensemble_mean,2.9293086620950057,%
ssp126,2076,emulator,ensemble_mean,2.8539892714777557,%
ssp126,2077,emulator,ensemble_mean,3.2709506449073755,%
ssp126,2078,emulator,ensemble_mean,3.0274910066826206,%
ssp126,2079,emulator,ensemble_mean,3.188153297849106,%
ssp126,2080,emulator,ensemble_mean,2.826095205244294,%
ssp126,2081,emulator,ensemble_mean,3.0169255082179625,%
ssp126,2082,emulator,ensemble_mean,3.120724965967954,%
ssp126,2083,emulator,ensemble_mean,3.0719115154342127,%
ssp126,2084,emulator,ensemble_mean,3.018212201011981,%
ssp126,2085,emulator,ensemble_mean,2.8644466557514345,%
ssp126,2086,emulator,ensemble_mean,2.85303789124719,%
ssp126,2087,emulator,ensemble_mean,2.9499607981392804,%
ssp126,2088,emulator,ensemble_mean,3.0053199296371482,%
ssp126,2089,emulator,ensemble_mean,3.0328151823889415,%
ssp126,2090,emulator,ensemble_mean,2.6897956305249764,%
ssp126,2091,emulator,ensemble_mean,2.9671978326606663,%
ssp126,2092,emulator,ensemble_mean,3.0576757557452283,%
ssp126,2093,emulator,ensemble_mean,3.0560226918661626,%
ssp126,2094,emulator,ensemble_mean,2.710502481222146,%
ssp126,2095,emulator,ensemble_mean,2.7825836038219562,%
ssp126,2096,emulator,ensemble_mean,2.7302169349434706,%
ssp126,2097,emulator,ensemble_mean,2.970886976363014,%
ssp126,2098,emulator,ensemble_mean,2.854722515483813,%
ssp126,2099,emulator,ensemble_mean,2.7228987468861408,%
ssp126,2100,emulator,ensemble_mean,3.0490944058984226,%
ssp126,2015,emulator,m1,1.0677797250468446,%
ssp126,2016,emulator,m1,1.7294934895193825,%
ssp126,2017,emulator,m1,0.8195154327621044,%
ssp126,2018,emulator,m1,1.6571887349713779,%
ssp126,2019,emulator,m1,0.33154310819603783,%
ssp126,2020,emulator,m1,0.9053660034024454,%
ssp126,2021,emulator,m1,2.134681104334686,%
ssp126,2022,emulator,m1,0.05118878111955832,%
ssp126,2023,emulator,m1,1.935823139047715,%
ssp126,2024,emulator,m1,1.9277152987382333,%
ssp126,2025,emulator,m1,1.972633012080103,%
ssp126,2026,emulator,m1,1.5843433571739578,%
ssp126,2027,emulator,m1,0.9658583770725772,%
ssp126,2028,emulator,m1,1.7907778213334553,%
ssp126,2029,emulator,m1,1.035786646950663,%
ssp126,2030,emulator,m1,1.306158539478232,%
ssp126,2031,emulator,m1,2.585118365269056,%
ssp126,2032,emulator,m1,2.1449653185666753,%
ssp126,2033,emulator,m1,1.811426779668438,%
ssp126,2034,emulator,m1,1.7307657744439748,%
ssp126,2035,emulator,m1,2.1875964092422735,%
ssp126,2036,emulator,m1,2.680666230672798,%
ssp126,2037,emulator,m1,3.1135449680286893,%
ssp126,2038,emulator,m1,1.704540135315274,%
ssp126,2039,emulator,m1,3.0980382892001552,%
ssp126,2040,emulator,m1,2.7477209722358387,%
ssp126,2041,emulator,m1,2.403108869377077,%
ssp126,2042,emulator,m1,1.3745409089883627,%
ssp126,2043,emulator,m1,1.987553395390256,%
ssp126,2044,emulator,m1,3.809357613984749,%
ssp126,2045,emulator,m1,2.903304014181022,%
ssp126,2046,emulator,m1,2.3581619481266234,%
ssp126,2047,emulator,m1,2.9247963822921044,%
ssp126,2048,emulator,m1,3.9717540780907528,%
ssp126,2049,emulator,m1,2.349272021105557,%
ssp126,2050,emulator,m1,2.0574620561025836,%
ssp126,2051,emulator,m1,2.127468949882077,%
ssp126,2052,emulator,m1,1.6247281095903077,%
ssp126,2053,emulator,m1,2.6782301021215176,%
ssp126,2054,emulator,m1,2.351320865765009,%
ssp126,2055,emulator,m1,3.2784811059446635,%
ssp126,2056,emulator,m1,2.567514108291752,%
ssp126,2057,emulator,m1,3.5590791569015097,%
ssp126,2058,emulator,m1,3.058160329801592,%
ssp126,2059,emulator,m1,3.3644147514042104,%
ssp126,2060,emulator,m1,2.531364985213059,%
ssp126,2061,emulator,m1,3.2590907094828117,%
ssp126,2062,emulator,m1,2.986692783632922,%
ssp126,2063,emulator,m1,3.064928679950194,%
ssp126,2064,emulator,m1,2.059123154577895,%
ssp126,2065,emulator,m1,1.6275471983990017,%
ssp126,2066,emulator,m1,3.0363724541323767,%
ssp126,2067,emulator,m1,3.055921191148936,%
ssp126,2068,emulator,m1,3.9010679285839087,%
ssp126,2069,emulator,m1,2.841632906799582,%
ssp126,2070,emulator,m1,3.7440812044604805,%
ssp126,2071,emulator,m1,1.803100502721335,%
ssp126,2072,emulator,m1,3.1139662757990894,%
ssp126,2073,emulator,m1,1.7285793821266895,%
ssp126,2074,emulator,m1,3.9120354383732914,%
ssp126,2075,emulator,m1,3.219067981593209,%
ssp126,2076,emulator,m1,3.5359909370380014,%
ssp126,2077,emulator,m1,3.624758459254275,%
ssp126,2078,emulator,m1,2.699678033935883,%
ssp126,2079,emulator,m1,3.7231032017129433,%
ssp126,2080,emulator,m1,4.199439718878446,%
ssp126,2081,emulator,m1,3.717487921098975,%
ssp126,2082,emulator,m1,2.495875540787461,%
ssp126,2083,emulator,m1,2.6993348719961476,%
ssp126,2084,emulator,m1,2.6805033883960823,%
ssp126,2085,emulator,m1,3.5170029889154986,%
ssp126,2086,emulator,m1,2.7015105538385193,%
ssp126,2087,emulator,m1,1.8918216708567177,%
ssp126,2088,emulator,m1,3.2359403014104364,%
ssp126,2089,emulator,m1,2.9562198702854317,%
ssp126,2090,emulator,m1,1.9565129829644525,%
ssp126,2091,emulator,m1,3.505009216614696,%
ssp126,2092,emulator,m1,3.604934715204152,%
ssp126,2093,emulator,m1,3.5124798784663698,%
ssp126,2094,emulator,m1,1.1706906763231353,%
ssp126,2095,emulator,m1,2.5133925973813245,%
ssp126,2096,emulator,m1,1.5766453568420622,%
ssp126,2097,emulator,m1,2.8762217961132412,%
ssp126,2098,emulator,m1,3.027082508171821,%
ssp126,2099,emulator,m1,1.8591684238637218,%
ssp126,2100,emulator,m1,3.4920339079575897,%
ssp126,2015,emulator,m2,0.9075600354344813,%
ssp126,2016,emulator,m2,-0.04425068039800739,%
ssp126,2017,emulator,m2,0.6367789295595911,%
ssp126,2018,emulator,m2,0.24547604365856804,%
ssp126,2019,emulator,m2,0.5055701709824871,%
ssp126,2020,emulator,m2,1.9751640305351752,%
ssp126,2021,emulator,m2,1.1375763542425894,%
ssp126,2022,emulator,m2,1.6507553792215777,%
ssp126,2023,emulator,m2,1.557853719462538,%
ssp126,2024,emulator,m2,2.114507231932974,%
ssp126,2025,emulator,m2,1.976066191759431,%
ssp126,2026,emulator,m2,0.03268070928330242,%
ssp126,2027,emulator,m2,0.21211184884451464,%
ssp126,2028,emulator,m2,2.970700434075859,%
ssp126,2029,emulator,m2,2.115713366962079,%
ssp126,2030,emulator,m2,2.6288999749413158,%
ssp126,2031,emulator,m2,1.3622306909041126,%
ssp126,2032,emulator,m2,1.1264986929525773,%
ssp126,2033,emulator,m2,2.8277123138613787,%
ssp126,2034,emulator,m2,1.932098700307167,%
ssp126,2035,emulator,m2,2.399657500497285,%
ssp126,2036,emulator,m2,2.200594763717299,%
ssp126,2037,emulator,m2,2.0608366565092124,%
ssp126,2038,emulator,m2,2.5998515539108453,%
ssp126,2039,emulator,m2,3.4351390051533066,%
ssp126,2040,emulator,m2,2.160928648803125,%
ssp126,2041,emulator,m2,2.4900230163594625,%
ssp126,2042,emulator,m2,3.4846562029829546,%
