scenario,source,value,unit
ssp126,emulator,3.0399639905116773,%
ssp126,emulator,3.2839747690091827,%
ssp126,emulator,2.4110883162097276,%
ssp126,emulator,1.7300122170295908,%
ssp126,emulator,2.713143418088724,%
ssp126,emulator,2.567743226947251,%
ssp126,emulator,2.3522480795405483,%
ssp126,emulator,2.60790748323244,%
ssp126,emulator,3.6173403192022655,%
ssp126,emulator,2.884931554670477,%
ssp126,emulator,3.2057595505053533,%
ssp126,emulator,2.937170381929533,%
ssp126,emulator,2.6229864244466983,%
ssp126,emulator,1.9469987236987967,%
ssp126,emulator,3.9682433028588964,%
ssp126,emulator,3.1357141952825947,%
ssp126,emulator,2.553779876675603,%
ssp126,emulator,2.4332785163605064,%
ssp126,emulator,2.5071150344866546,%
ssp126,emulator,1.812820028923875,%
ssp126,emulator,2.0545260212027507,%
ssp126,emulator,2.83091540834383,%
ssp126,emulator,1.669746603351613,%
ssp126,emulator,3.5194234276820713,%
ssp126,emulator,1.889574220182923,%
ssp126,emulator,1.592872493754338,%
ssp126,emulator,3.709487565006421,%
ssp126,emulator,3.2617273315944724,%
ssp126,emulator,3.0653926208607554,%
ssp126,emulator,2.0354471584466514,%
ssp126,emulator,3.487497989725627,%
ssp126,emulator,3.8029445003887274,%
ssp126,emulator,2.6948781236078223,%
ssp126,emulator,2.8064475121646515,%
ssp126,emulator,2.329443607216871,%
ssp126,emulator,3.3701008722785293,%
ssp126,emulator,2.5476464852403122,%
ssp126,emulator,3.8269973153094954,%
ssp126,emulator,1.7208329474876507,%
ssp126,emulator,3.6310589948834253,%
ssp126,emulator,2.41063806909685,%
ssp126,emulator,2.41927514244269,%
ssp126,emulator,2.4598259586222575,%
ssp126,emulator,2.9326476344520063,%
ssp126,emulator,2.841018933433782,%
ssp126,emulator,1.6598627284764649,%
ssp126,emulator,3.420445579036214,%
ssp126,emulator,2.96409152384257,%
ssp126,emulator,3.660221422254154,%
ssp126,emulator,2.0508452691126116,%
ssp126,emulator,3.2188830326363576,%
ssp126,emulator,4.067189199888386,%
ssp126,emulator,3.570869619009752,%
ssp126,emulator,2.908478883502324,%
ssp126,emulator,2.1783340511475435,%
ssp126,emulator,2.8464860452005243,%
ssp126,emulator,3.846528243355348,%
ssp126,emulator,4.047278470433335,%
ssp126,cesm2,4.081023426524179,%
ssp126,cesm2,3.8429297060614567,%
ssp126,cesm2,3.291569284474621,%
ssp126,cesm2,3.6534454641113805,%
ssp126,cesm2,4.325817602744927,%
ssp126,cesm2,3.1371925734933472,%
ssp126,cesm2,4.440937209593525,%
ssp126,cesm2,5.027027742221935,%
ssp126,cesm2,3.726219601772371,%
ssp126,cesm2,3.5861177016426757,%
ssp126,cesm2,4.017526830005877,%
ssp126,cesm2,3.4428927242818306,%
