scenario,source,value,unit
ssp126,emulator,2.1825533642528416,degC
ssp126,emulator,1.9833268111814721,degC
ssp126,emulator,2.159498451655695,degC
ssp126,emulator,2.4010802364781743,degC
ssp126,emulator,1.9632506345957186,degC
ssp126,emulator,2.274928284511139,degC
ssp126,emulator,2.112951638403837,degC
ssp126,emulator,2.2849521953464222,degC
ssp126,emulator,2.202920778844545,degC
ssp126,emulator,2.2295517870365895,degC
ssp126,emulator,2.163640899567225,degC
ssp126,emulator,2.0032180242830915,degC
ssp126,emulator,2.3943927135791707,degC
ssp126,emulator,2.1660067354226644,degC
ssp126,emulator,2.040268932482883,degC
ssp126,emulator,1.9868123829289015,degC
ssp126,emulator,2.105304107314778,degC
ssp126,emulator,2.298857346918398,degC
ssp126,emulator,2.138585617149781,degC
ssp126,emulator,2.391152398788174,degC
ssp126,emulator,2.2317759913432607,degC
ssp126,emulator,2.2448979997179688,degC
ssp126,emulator,1.9278289597899771,degC
ssp126,emulator,2.3033561051190024,degC
ssp126,emulator,2.1626833979503477,degC
ssp126,emulator,2.297437859968765,degC
ssp126,cesm2,2.237337301610694,degC
ssp126,cesm2,2.255897893547626,degC
ssp126,cesm2,1.9401701325484737,degC
ssp126,cesm2,2.148321656415817,degC
ssp126,cesm2,2.4394407821537243,degC
ssp126,cesm2,2.017100022199088,degC
ssp126,cesm2,2.1676009902168403,degC
ssp126,cesm2,2.477400390173841,degC
ssp126,cesm2,2.038907587163351,degC
ssp126,cesm2,2.2462188575487403,degC
ssp126,cesm2,2.1743955665265275,degC
ssp126,cesm2,2.0316920651742407,degC
ssp126,cesm2,2.2654704588509844,degC
ssp126,cesm2,2.351051270416974,degC
ssp126,cesm2,2.28472216211577,degC
ssp126,cesm2,2.2468330995096153,degC
ssp126,cesm2,2.2580960955631895,degC
ssp126,cesm2,2.0430067755385153,degC
ssp126,cesm2,2.3562801430728655,degC
ssp126,cesm2,2.118660728071916,degC
ssp126,cesm2,2.1837964818778914,degC
ssp126,cesm2,2.1831663566062502,degC
ssp126,cesm2,2.281054118940631,degC
ssp126,cesm2,2.298450025576642,degC
ssp126,cesm2,2.2111784825947893,degC
ssp126,cesm2,2.4650502871671733,degC
ssp126,cesm2,2.2764805575757805,degC
ssp126,cesm2,2.324268340196113,degC
ssp126,cesm2,2.349968510974236,degC
ssp126,cesm2,2.303280528845221,degC
ssp245,emulator,3.4607722975314825,degC
ssp245,emulator,3.4558792740640367,degC
ssp245,emulator,3.3024768978413395,degC
ssp245,emulator,3.3180950923947616,degC
ssp245,emulator,3.3346633784090347,degC
ssp245,emulator,3.430370944072566,degC
ssp245,emulator,3.0733925654314067,degC
ssp245,emulator,3.439488984618494,degC
ssp245,emulator,3.2880060982023576,degC
ssp245,emulator,3.520047596531713,degC
ssp245,emulator,2.998230136634705,degC
ssp245,emulator,3.2719918521850406,degC
ssp245,emulator,3.143340565249771,degC
ssp245,emulator,3.5958750668701445,degC
ssp245,emulator,3.340130111472975,degC
ssp245,emulator,3.4492565857377873,degC
ssp245,emulator,3.3024048822618237,degC
ssp245,emulator,3.4361407044028045,degC
ssp245,emulator,3.495786552868344,degC
ssp245,emulator,3.336102139612125,degC
ssp245,emulator,3.3905976888798133,degC
ssp245,emulator,3.4235420879277196,degC
ssp245,emulator,3.3329157557514666,degC
ssp245,emulator,3.35260726464381,degC
ssp245,emulator,3.281575355274578,degC
ssp245,emulator,3.310938109867122,degC
ssp245,emulator,3.310139974750582,degC
ssp245,emulator,3.4267763670110742,degC
ssp245,emulator,3.4466035748219053,degC
ssp245,emulator,3.0926202389706585,degC
ssp245,emulator,3.261589609144904,degC
ssp245,emulator,3.278106046708766,degC
ssp245,emulator,3.037387326503156,degC
ssp245,emulator,3.569978105695645,degC
ssp245,emulator,3.5492406630192814,degC
ssp245,emulator,3.2736580839200062,degC
ssp245,emulator,3.810083266014571,degC
ssp245,emulator,3.5412177932091726,degC
ssp245,emulator,3.2048389988055224,degC
ssp245,emulator,3.5063735970495618,degC
ssp245,emulator,3.1128820331621068,degC
ssp245,emulator,3.2780271002814434,degC
ssp245,emulator,3.497090259729328,degC
ssp245,emulator,3.185944177970585,degC
ssp245,emulator,3.347460929866978,degC
ssp245,emulator,3.15275217412521,degC
ssp245,emulator,3.606768634568164,degC
ssp245,emulator,3.5124356539658255,degC
